,RegionName,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,# of Bedrooms
44,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31024567280849,2.18337365701632,2.3125,2.49583333333333,2.4375,2.35294117647059,2.3076923076923097,2.26779468911917,2.25,2.3846153846153797,2.3333333333333304,2.2785714285714302,2.2909805389221605,2.29285714285714,2.2666666666666697,2.2666666666666697,2.25393081761006,2.35120880813058,2.2672820512820495,2.28125,2.31009615384615,2.38194444444444,2.396,2.3846153846153797,2.35714285714286,2.3846153846153797,2.4,2.42714285714286,2.4,2.375,2.3333333333333304,2.42857142857143,2.4166666666666696,1
52,10024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93419913419913,4.9422267350508395,4.92481333264037,4.82288401253918,4.71623376623377,4.85790580465763,4.82857142857143,4.92907444668008,4.92907444668008,4.929577464788731,4.58333333333333,4.70549738219895,4.83383685800604,4.91666666666667,4.9472887323943695,5.0,4.95554885581505,4.91666666666667,4.85702005730659,4.91855851884505,4.99359795134443,4.92632719393283,4.92632719393283,4.75,4.37956204379562,4.68181818181818,4.67625899280576,4.625,4.659318637274549,4.64215931863727,4.631809600863,4.66192170818505,4.73301021744826,4.55172413793103,4.71428571428571,4.71623376623377,4.67554972959618,4.6698717948718,4.659318637274549,4.5229487179487196,4.73114973262032,4.7181818181818205,4.60674157303371,4.66265931863727,4.68875022772818,4.63068181818182,4.73409090909091,4.620192307692309,4.66666666666667,4.82138353449829,4.7181818181818205,4.620192307692309,4.7181818181818205,4.651087890065849,4.810209424083769,4.6583333333333306,4.89932774961428,4.96833333333333,4.92180878970096,5.0,4.950757045335201,4.97514367816092,1
58,11214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.7647058823529398,1.875,1.82555780933063,1.92857142857143,1.94367816091954,1.97880952380952,1.99333333333333,2.0007022471910103,1.98746839654025,1.99944444444444,1.99358974358974,1.9871794871794901,2.0714285714285703,2.01923076923077,2.05882352941176,2.07454289732771,2.06124852767962,1.9375,1.94117647058824,2.2255343082114702,2.1547619047619,1.98643649815043,2.0714285714285703,2.0833333333333304,2.06666666666667,2.1344827586206896,2.1052631578947403,2.07071428571429,2.08509700176367,2.10842374924653,2.11529982363316,2.1666666666666696,2.18333333333333,2.17756767630324,2.20689655172414,2.16535433070866,2.15384615384615,2.17411764705882,2.15384615384615,2.14285714285714,2.14285714285714,2.25,2.14285714285714,2.10714285714286,2.1785714285714297,2.28571428571429,2.26896551724138,2.28571428571429,2.20714285714286,2.20714285714286,2.26896551724138,1
62,11229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969325153374198,2.0747311827957,1.94444444444444,2.09375,2.2066666666666697,2.06451612903226,2.07535601265823,2.01174934725849,2.07692307692308,2.13917050691244,2.125,2.06666666666667,2.17647058823529,2.0714285714285703,2.13333333333333,2.13452380952381,2.21428571428571,2.28571428571429,2.3887362637362597,2.56089743589744,2.32638888888889,2.32638888888889,2.35714285714286,2.28571428571429,2.25,2.2697368421052597,2.3708791208791204,2.37622377622378,2.3161764705882404,2.11571302816901,2.18198529411765,2.31884057971015,2.26,2.32538095238095,2.28571428571429,1
77,11211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03321718931475,4.02005879692447,4.0,4.10610465116279,3.91503267973856,3.9705882352941204,3.9539215686274503,4.11128761969904,4.296296296296299,4.381420091410799,4.366071428571431,4.16221985058698,4.278350515463919,4.09471899224806,4.03448275862069,4.0746268656716405,4.08833048026253,4.06976091330183,4.11190615835777,4.154387865655471,4.40831804244429,4.21428571428571,4.04689655172414,3.7985714285714303,3.758,4.07614942528736,4.19285714285714,4.19047619047619,4.545454545454549,4.37875682888986,4.923717059639389,4.567307692307691,4.6378653113087696,1
80,11355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3846153846153797,2.4226190476190497,2.5,2.53552097428958,2.46268656716418,2.4342105263157903,2.42857142857143,2.6,2.6041666666666696,2.63157894736842,2.5,2.42857142857143,2.4760233918128702,2.375,2.4226190476190497,2.42857142857143,2.41810699588477,2.39541160593792,2.4166666666666696,2.47482993197279,2.35714285714286,2.5,2.4849507389162597,2.47340740740741,2.42857142857143,2.4,2.40625,2.5,2.49375,2.49518809041835,2.4479487179487203,2.40625,1
83,11215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5050071530758196,3.56428571428571,3.3333333333333304,3.35714285714286,3.34615384615385,3.38461538461538,3.4,3.38888888888889,3.38461538461538,3.35135135135135,3.2714285714285696,3.1666666666666696,3.15514993481095,3.14285714285714,3.28571428571429,3.2,3.31922636296246,3.44827586206897,3.5,3.4285714285714306,3.38241525423729,3.3734939759036098,3.3982142857142903,3.31428571428571,3.4285714285714306,3.51826792963464,3.53125,3.31217479674797,3.44444444444444,3.59333333333333,3.52352941176471,3.4476190476190496,3.6195673076923103,1
99,11385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44444444444444,2.5,2.57142857142857,2.3541666666666696,2.44375,2.499375,2.40412587412587,2.28571428571429,2.35897435897436,2.44444444444444,2.43303571428571,2.43595238095238,2.42326880284824,2.5,2.359375,2.41541666666667,1
159,11218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.625,2.625,2.5,2.6125,2.60769230769231,2.5,2.6,2.6,2.49011574074074,2.44444444444444,2.5806666666666698,2.625,2.60714285714286,2.5773809523809503,2.6439999999999997,2.4,2.59375,2.6,2.63266666666667,2.60384615384615,2.6847158218126,2.6125,2.6346153846153797,2.7035714285714305,2.6875,2.6875,2.5625,2.48529411764706,2.52105263157895,2.53333333333333,1
161,11223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,2.06666666666667,2.09125475285171,2.21997613297943,2.178125,2.20855263157895,2.14214285714286,2.2,2.2825630252100804,2.28230337078652,2.2526881720430096,2.28187919463087,2.28571428571429,2.23076923076923,2.14285714285714,2.26470588235294,2.35714285714286,2.24301075268817,2.3425324675324704,2.30070708158358,2.40740740740741,2.35714285714286,2.2,2.15625,2.31872509960159,2.27941176470588,2.2949155757920696,2.3589170392449104,2.3333333333333304,2.42857142857143,2.42857142857143,1
